               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.031335,           0.0092333,           0.0061725,             0.77064,             0.97917,              0.7992,              0.7068,           0.0081081,            0.002238,          0.00042797,           0.0091585,           0.0091585,           0.0091585
                  36,            0.028252,           0.0088841,           0.0029024,             0.77591,                   1,             0.80017,             0.71224,           0.0085568,           0.0021423,           0.0004578,           0.0091337,           0.0091337,           0.0091337
                  37,             0.02788,           0.0087198,           0.0053441,             0.80277,             0.92099,              0.8067,             0.67339,            0.010984,           0.0028883,          0.00087376,            0.009109,            0.009109,            0.009109
                  38,            0.028187,           0.0087853,           0.0046655,             0.78333,             0.89583,             0.85222,             0.72205,           0.0089361,           0.0023584,           0.0004087,           0.0090843,           0.0090843,           0.0090843
                  39,            0.027509,           0.0086748,           0.0043331,             0.76367,             0.98931,             0.81569,             0.67781,            0.009104,           0.0024514,           0.0002694,           0.0090595,           0.0090595,           0.0090595
                  40,            0.027084,           0.0085409,           0.0045508,             0.77873,             0.97917,             0.81296,             0.70485,            0.007869,           0.0019692,          0.00024025,           0.0090347,           0.0090347,           0.0090347
                  41,            0.026007,           0.0081331,           0.0056156,             0.77984,             0.94502,             0.82252,             0.70961,           0.0086777,           0.0021495,          0.00027654,             0.00901,             0.00901,             0.00901
                  42,            0.025372,           0.0081173,           0.0037781,              0.7876,                   1,             0.82152,             0.71996,           0.0080322,           0.0020363,          0.00021989,           0.0089853,           0.0089853,           0.0089853
                  43,            0.028434,           0.0082533,           0.0034874,             0.77889,                   1,             0.83295,             0.74617,           0.0079566,           0.0020282,            0.000289,           0.0089605,           0.0089605,           0.0089605
                  44,            0.025043,           0.0080099,           0.0034753,             0.78307,                   1,             0.80529,             0.71699,           0.0078459,           0.0022461,          0.00035985,           0.0089358,           0.0089358,           0.0089358
                  45,            0.025553,           0.0080375,           0.0033116,             0.78887,                   1,             0.80936,             0.72722,           0.0069298,           0.0021579,          0.00037544,            0.008911,            0.008911,            0.008911
                  46,            0.025856,           0.0082962,            0.007622,             0.79885,             0.97917,             0.87464,             0.78038,           0.0077534,           0.0020425,          0.00042143,           0.0088863,           0.0088863,           0.0088863
                  47,            0.027407,            0.008661,           0.0044191,             0.80716,             0.95833,             0.82865,              0.7108,           0.0074304,           0.0022792,          0.00031772,           0.0088615,           0.0088615,           0.0088615
                  48,            0.026571,           0.0088144,           0.0057796,             0.76512,             0.99776,             0.83731,             0.72364,           0.0082515,           0.0024236,          0.00035026,           0.0088368,           0.0088368,           0.0088368
                  49,            0.025838,           0.0086674,           0.0050972,              0.8032,             0.87091,             0.81137,             0.70213,           0.0083347,           0.0022861,          0.00030327,            0.008812,            0.008812,            0.008812
                  50,            0.026459,           0.0084402,           0.0065936,              0.7694,             0.97917,              0.8135,             0.72024,            0.010002,           0.0022939,          0.00026661,           0.0087872,           0.0087872,           0.0087872
                  51,            0.024505,           0.0082649,           0.0045827,             0.82831,             0.95833,             0.88991,              0.7897,           0.0077055,           0.0023797,          0.00027072,           0.0087625,           0.0087625,           0.0087625
                  52,            0.024749,           0.0081686,           0.0033956,             0.78306,                   1,             0.86542,             0.74166,           0.0082529,            0.002049,          0.00023468,           0.0087378,           0.0087378,           0.0087378
                  53,            0.024052,           0.0079013,           0.0031062,             0.77794,                   1,             0.83134,             0.73121,           0.0077204,           0.0021584,            0.000289,            0.008713,            0.008713,            0.008713
                  54,            0.024433,           0.0078108,           0.0025799,             0.77716,                   1,             0.81167,             0.72698,           0.0066965,           0.0019197,          0.00033828,           0.0086882,           0.0086882,           0.0086882
                  55,            0.027086,            0.007906,            0.004688,             0.77811,                   1,             0.79509,             0.70299,           0.0072562,             0.00208,          0.00016042,           0.0086635,           0.0086635,           0.0086635
                  56,            0.024585,           0.0081555,           0.0034865,              0.7776,                   1,             0.82593,              0.7479,           0.0068522,           0.0020294,          0.00022486,           0.0086388,           0.0086388,           0.0086388
                  57,            0.025096,           0.0077551,           0.0022993,             0.77616,                   1,             0.78394,             0.70987,            0.006845,           0.0019663,          0.00023822,            0.008614,            0.008614,            0.008614
                  58,            0.026477,           0.0076947,           0.0035117,             0.76337,                   1,             0.80896,             0.71593,           0.0077425,           0.0021409,          0.00019941,           0.0085893,           0.0085893,           0.0085893
                  59,            0.023945,           0.0080519,           0.0033262,             0.77603,                   1,             0.78947,             0.71363,           0.0082647,           0.0019826,          0.00035384,           0.0085645,           0.0085645,           0.0085645
                  60,            0.026265,           0.0077668,           0.0031027,             0.77966,             0.91667,             0.80558,              0.6903,           0.0084577,           0.0021839,          0.00011968,           0.0085398,           0.0085398,           0.0085398
                  61,            0.024528,            0.007906,           0.0044508,             0.77591,                   1,             0.84611,             0.75111,           0.0083999,           0.0021544,          0.00026747,            0.008515,            0.008515,            0.008515
                  62,            0.026079,           0.0084002,           0.0033505,             0.77859,             0.97917,             0.80081,             0.71925,            0.007399,           0.0019632,          0.00022854,           0.0084903,           0.0084903,           0.0084903
                  63,             0.02257,           0.0078227,           0.0035548,             0.78107,             0.99662,             0.81404,             0.73377,           0.0061139,            0.002044,          0.00020748,           0.0084655,           0.0084655,           0.0084655
                  64,            0.023604,           0.0078753,           0.0035028,             0.76904,             0.98325,             0.80493,             0.72583,           0.0064949,           0.0020109,          0.00021633,           0.0084408,           0.0084408,           0.0084408
                  65,            0.026447,           0.0076088,           0.0023624,             0.77804,                   1,             0.82526,             0.74363,           0.0061887,           0.0019867,          0.00022212,            0.008416,            0.008416,            0.008416
                  66,            0.025574,           0.0075745,            0.002667,             0.76271,             0.97917,             0.80253,             0.70496,           0.0085173,           0.0021934,          0.00020147,           0.0083913,           0.0083913,           0.0083913
                  67,            0.024758,           0.0077174,           0.0046449,             0.77334,                   1,             0.81782,              0.7265,           0.0076509,           0.0020651,          0.00024823,           0.0083665,           0.0083665,           0.0083665
                  68,            0.023621,           0.0076081,           0.0029141,             0.78588,                   1,             0.82096,               0.754,           0.0063626,           0.0019063,          0.00015564,           0.0083418,           0.0083418,           0.0083418
                  69,            0.023923,           0.0074796,           0.0035802,             0.78168,                   1,             0.81873,             0.75036,           0.0064376,           0.0020509,          0.00018986,            0.008317,            0.008317,            0.008317
                  70,            0.027502,           0.0081165,           0.0043692,             0.77487,                   1,             0.80919,             0.70335,           0.0077495,           0.0024552,          0.00020875,           0.0082922,           0.0082922,           0.0082922
                  71,            0.027074,           0.0083725,           0.0067994,             0.76689,             0.99253,             0.79733,               0.675,           0.0085908,           0.0028148,          0.00012863,           0.0082675,           0.0082675,           0.0082675
                  72,            0.024443,           0.0081557,           0.0034321,             0.79588,             0.95833,             0.84585,               0.764,           0.0064329,           0.0023358,          0.00019895,           0.0082428,           0.0082428,           0.0082428
                  73,            0.023796,            0.007371,           0.0032612,             0.77951,                   1,             0.80744,             0.71358,             0.01043,           0.0020278,          0.00015694,            0.008218,            0.008218,            0.008218
                  74,            0.024361,           0.0076096,           0.0029971,             0.78644,             0.97917,             0.80467,             0.73063,           0.0070698,           0.0018199,          0.00020792,           0.0081932,           0.0081932,           0.0081932
                  75,            0.023985,           0.0077186,            0.002321,             0.76799,              0.9375,             0.80377,             0.70533,           0.0071535,           0.0021774,          0.00028439,           0.0081685,           0.0081685,           0.0081685
                  76,            0.025078,           0.0076293,           0.0032008,             0.77981,                   1,             0.83091,             0.75669,           0.0058047,           0.0019999,          0.00021948,           0.0081437,           0.0081437,           0.0081437
                  77,            0.023458,           0.0075452,             0.00213,             0.78151,                   1,              0.7994,             0.72688,           0.0058267,           0.0017843,          0.00020435,            0.008119,            0.008119,            0.008119
                  78,            0.023637,           0.0074353,           0.0028152,             0.77662,                   1,             0.81385,             0.75276,           0.0058793,           0.0018503,          0.00017508,           0.0080942,           0.0080942,           0.0080942
                  79,            0.022962,            0.007662,           0.0036685,             0.77773,                   1,             0.83794,             0.73134,           0.0075791,           0.0018116,          0.00017323,           0.0080695,           0.0080695,           0.0080695
                  80,            0.022918,           0.0074495,           0.0036717,             0.78726,                   1,             0.82241,             0.75083,           0.0058865,           0.0018373,          0.00017377,           0.0080447,           0.0080447,           0.0080447
                  81,            0.021351,           0.0072739,           0.0036073,             0.77709,                   1,             0.79953,             0.73095,           0.0067267,           0.0017947,           0.0001972,             0.00802,             0.00802,             0.00802
                  82,            0.024853,           0.0074511,           0.0054125,             0.77467,                   1,             0.78871,             0.70892,           0.0063643,           0.0022815,          0.00013213,           0.0079953,           0.0079953,           0.0079953
                  83,            0.021427,           0.0076587,           0.0024156,             0.77689,                   1,             0.79784,             0.74149,           0.0063162,            0.001986,          0.00016208,           0.0079705,           0.0079705,           0.0079705
                  84,            0.022534,           0.0074148,           0.0025973,              0.7817,                   1,             0.82012,             0.75407,           0.0057313,           0.0017763,          0.00023693,           0.0079457,           0.0079457,           0.0079457
                  85,            0.022721,           0.0075229,           0.0042139,              0.8178,             0.88991,             0.81284,             0.73204,           0.0068763,           0.0019492,          0.00026582,            0.007921,            0.007921,            0.007921
                  86,            0.023108,           0.0079571,           0.0039357,             0.77705,                   1,             0.80151,             0.73435,           0.0062385,           0.0019634,           0.0001803,           0.0078963,           0.0078963,           0.0078963
                  87,            0.024763,           0.0077844,           0.0041634,             0.78802,                   1,             0.82066,             0.74527,           0.0075829,           0.0019528,          0.00012758,           0.0078715,           0.0078715,           0.0078715
                  88,            0.022413,           0.0072445,           0.0026576,             0.77977,             0.97917,             0.83062,             0.75293,           0.0062862,           0.0017751,          0.00015263,           0.0078467,           0.0078467,           0.0078467
                  89,             0.02041,           0.0073709,           0.0034407,             0.79498,                   1,             0.81847,             0.75353,           0.0064344,           0.0017021,          0.00012952,            0.007822,            0.007822,            0.007822
                  90,            0.020158,           0.0070301,           0.0022382,              0.7735,                   1,             0.79558,             0.72036,           0.0060562,           0.0018084,          0.00027791,           0.0077973,           0.0077973,           0.0077973
                  91,            0.022276,           0.0077303,           0.0040813,             0.75986,             0.95833,               0.796,             0.69322,           0.0076903,           0.0025917,          0.00021079,           0.0077725,           0.0077725,           0.0077725
                  92,            0.020325,           0.0074691,           0.0027069,             0.77851,             0.97029,             0.84868,             0.74947,           0.0064391,           0.0019648,          0.00013377,           0.0077478,           0.0077478,           0.0077478
                  93,            0.021694,           0.0071955,           0.0035152,             0.77823,                   1,             0.82973,             0.75531,           0.0056216,           0.0016859,          0.00014399,            0.007723,            0.007723,            0.007723
                  94,             0.02363,           0.0075469,           0.0023492,             0.77667,                   1,             0.79276,             0.72672,           0.0074027,           0.0018185,          0.00013003,           0.0076983,           0.0076983,           0.0076983
                  95,            0.024639,           0.0072231,           0.0035012,             0.77994,             0.99894,             0.79276,             0.71232,           0.0062988,            0.001951,          0.00011895,           0.0076735,           0.0076735,           0.0076735
                  96,            0.020472,           0.0073487,           0.0032255,              0.7752,                   1,              0.8058,             0.74155,           0.0055653,           0.0017796,          0.00014389,           0.0076488,           0.0076488,           0.0076488
                  97,            0.020812,           0.0071477,           0.0028089,             0.79512,             0.95833,             0.81401,             0.75363,           0.0060509,           0.0017428,          0.00015888,            0.007624,            0.007624,            0.007624
