               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037882,            0.011723,            0.014842,             0.91403,              0.9047,             0.98389,             0.57785,            0.020843,           0.0042291,           0.0035721,            0.006535,            0.006535,            0.006535
                  37,            0.036076,            0.011112,             0.01028,             0.90998,             0.85404,             0.97595,             0.58628,            0.024162,           0.0041246,           0.0027962,            0.006436,            0.006436,            0.006436
                  38,             0.04327,             0.01138,            0.013638,             0.72136,             0.87055,             0.77917,             0.55623,            0.023014,            0.004724,           0.0024803,            0.006337,            0.006337,            0.006337
                  39,            0.039977,            0.010902,           0.0098002,             0.77329,             0.86088,             0.77317,             0.40499,            0.027033,           0.0052156,           0.0022945,            0.006238,            0.006238,            0.006238
                  40,            0.045909,            0.011292,            0.013302,             0.81917,             0.98811,               0.951,             0.56357,            0.021436,           0.0047092,           0.0016102,            0.006139,            0.006139,            0.006139
                  41,            0.037581,            0.011869,            0.016572,             0.80396,                   1,             0.87711,             0.59562,            0.016943,           0.0045986,           0.0023277,             0.00604,             0.00604,             0.00604
                  42,            0.035606,            0.011654,            0.011108,             0.96744,             0.97306,               0.995,             0.62011,            0.018311,            0.004724,             0.00354,            0.005941,            0.005941,            0.005941
                  43,            0.032779,            0.012262,           0.0090952,             0.82579,             0.99519,             0.95929,               0.654,            0.020581,           0.0046973,           0.0023582,            0.005842,            0.005842,            0.005842
                  44,            0.036686,            0.011299,            0.010853,             0.97126,             0.99927,               0.995,             0.64737,            0.019682,           0.0049071,           0.0017235,            0.005743,            0.005743,            0.005743
                  45,            0.038007,           0.0099286,            0.011153,             0.96322,             0.96882,               0.995,             0.68835,            0.014832,           0.0045996,           0.0016033,            0.005644,            0.005644,            0.005644
                  46,            0.034549,            0.011152,            0.013156,             0.87148,                   1,               0.995,             0.68017,            0.014951,           0.0044899,           0.0017319,            0.005545,            0.005545,            0.005545
                  47,            0.035408,           0.0096747,           0.0079168,             0.86797,                   1,               0.995,              0.6878,            0.022269,           0.0043602,            0.001685,            0.005446,            0.005446,            0.005446
                  48,            0.032087,             0.01064,           0.0055377,             0.92587,             0.97445,               0.995,              0.6159,            0.020305,           0.0043654,           0.0016598,            0.005347,            0.005347,            0.005347
                  49,            0.029321,           0.0099622,           0.0076915,             0.81155,                   1,             0.96167,             0.31557,            0.031076,           0.0047355,            0.001759,            0.005248,            0.005248,            0.005248
                  50,            0.042761,            0.010561,            0.015614,             0.91434,                   1,               0.995,             0.63572,            0.015437,           0.0045652,           0.0016033,            0.005149,            0.005149,            0.005149
                  51,            0.039121,            0.010296,           0.0093174,             0.93599,             0.99014,               0.995,             0.64887,            0.015849,           0.0046635,           0.0015278,             0.00505,             0.00505,             0.00505
                  52,            0.035836,           0.0095611,            0.008212,             0.96339,                   1,               0.995,             0.61651,            0.017308,           0.0045471,           0.0014763,            0.004951,            0.004951,            0.004951
                  53,            0.028403,            0.010582,           0.0086259,             0.98171,                   1,               0.995,             0.66173,            0.017728,           0.0040293,           0.0012535,            0.004852,            0.004852,            0.004852
                  54,            0.037569,             0.01116,           0.0099631,             0.98326,                   1,               0.995,             0.64927,            0.014735,           0.0038142,            0.001141,            0.004753,            0.004753,            0.004753
                  55,            0.035463,           0.0098733,            0.011683,             0.98445,                   1,               0.995,             0.70672,            0.013909,           0.0035667,           0.0019409,            0.004654,            0.004654,            0.004654
                  56,             0.03184,           0.0099178,           0.0065209,             0.97837,                   1,               0.995,             0.71857,            0.015625,           0.0035734,           0.0013836,            0.004555,            0.004555,            0.004555
                  57,            0.034261,           0.0090994,            0.011279,             0.97541,             0.99791,               0.995,             0.70212,            0.016657,           0.0037217,           0.0011845,            0.004456,            0.004456,            0.004456
                  58,            0.027752,            0.011535,           0.0084209,             0.95775,             0.99422,               0.995,             0.67225,            0.016127,           0.0038342,           0.0011009,            0.004357,            0.004357,            0.004357
                  59,            0.033764,            0.010727,            0.012473,             0.96284,             0.95938,               0.995,             0.62216,             0.01569,           0.0039887,          0.00099506,            0.004258,            0.004258,            0.004258
                  60,            0.031712,           0.0092889,           0.0079685,             0.96371,             0.96224,               0.995,             0.67675,            0.016453,           0.0043178,           0.0011375,            0.004159,            0.004159,            0.004159
                  61,            0.031284,           0.0090705,            0.010306,             0.95916,             0.98673,               0.995,             0.62374,            0.016915,           0.0043511,           0.0012375,             0.00406,             0.00406,             0.00406
                  62,            0.035019,            0.010037,           0.0075476,             0.98385,                   1,               0.995,             0.57634,             0.01719,           0.0041552,           0.0014042,            0.003961,            0.003961,            0.003961
                  63,            0.029143,           0.0096772,           0.0085693,             0.97379,                   1,               0.995,             0.66868,            0.017128,           0.0039935,           0.0013428,            0.003862,            0.003862,            0.003862
                  64,            0.021349,           0.0089885,           0.0036869,             0.97418,                   1,               0.995,             0.65748,            0.016545,            0.003974,            0.001305,            0.003763,            0.003763,            0.003763
                  65,            0.031796,           0.0099084,           0.0069565,             0.97541,                   1,               0.995,             0.69231,            0.014579,           0.0039611,           0.0012527,            0.003664,            0.003664,            0.003664
                  66,            0.024243,           0.0095033,           0.0079812,              0.9685,             0.99903,               0.995,               0.567,            0.021737,           0.0039988,           0.0012119,            0.003565,            0.003565,            0.003565
                  67,            0.031524,            0.010455,           0.0088067,             0.97242,                   1,               0.995,             0.64728,             0.01674,           0.0039463,           0.0012024,            0.003466,            0.003466,            0.003466
                  68,            0.028306,           0.0088828,           0.0044749,             0.96998,                   1,               0.995,             0.66034,            0.015225,           0.0039525,           0.0012253,            0.003367,            0.003367,            0.003367
                  69,            0.030276,            0.010747,           0.0050597,             0.96445,                   1,               0.995,             0.56548,            0.015221,           0.0039854,           0.0012264,            0.003268,            0.003268,            0.003268
                  70,            0.032782,            0.011057,           0.0086521,             0.97043,                   1,               0.995,             0.56723,            0.017333,           0.0039701,           0.0012348,            0.003169,            0.003169,            0.003169
                  71,            0.033947,           0.0095426,           0.0078053,             0.96851,                   1,               0.995,             0.68546,            0.012889,           0.0038829,           0.0011501,             0.00307,             0.00307,             0.00307
                  72,            0.028476,           0.0089158,            0.010134,             0.96837,                   1,               0.995,             0.67639,            0.013098,           0.0038123,          0.00099945,            0.002971,            0.002971,            0.002971
                  73,            0.032127,           0.0091992,           0.0082924,             0.97514,                   1,               0.995,             0.64614,            0.016715,           0.0037441,          0.00089378,            0.002872,            0.002872,            0.002872
                  74,            0.030853,           0.0094906,             0.00636,             0.97522,                   1,               0.995,             0.72126,            0.013971,            0.003829,          0.00089664,            0.002773,            0.002773,            0.002773
                  75,            0.024916,           0.0090814,           0.0088626,             0.97247,                   1,               0.995,             0.67261,             0.01535,           0.0037937,           0.0008482,            0.002674,            0.002674,            0.002674
                  76,            0.027624,           0.0077736,           0.0043025,              0.9617,             0.99805,               0.995,             0.72237,            0.012694,            0.003705,          0.00082779,            0.002575,            0.002575,            0.002575
                  77,             0.02131,           0.0085824,           0.0050003,             0.96174,                   1,               0.995,              0.7495,            0.013016,            0.003716,          0.00082188,            0.002476,            0.002476,            0.002476
                  78,             0.02815,            0.009213,           0.0044163,             0.96724,                   1,               0.995,             0.75115,            0.013136,           0.0037599,          0.00079479,            0.002377,            0.002377,            0.002377
                  79,            0.022548,           0.0090308,           0.0035279,             0.97085,             0.99833,               0.995,             0.73203,            0.013792,           0.0036569,          0.00074673,            0.002278,            0.002278,            0.002278
                  80,            0.026157,           0.0082653,           0.0052075,             0.97457,             0.99738,               0.995,             0.75348,            0.015656,           0.0035262,           0.0006958,            0.002179,            0.002179,            0.002179
                  81,            0.026857,           0.0095247,           0.0034724,              0.9789,             0.99877,               0.995,             0.72102,            0.011945,           0.0035534,          0.00066452,             0.00208,             0.00208,             0.00208
                  82,            0.021381,           0.0087692,           0.0079866,             0.98152,             0.99945,               0.995,             0.75569,            0.014822,           0.0034595,          0.00062466,            0.001981,            0.001981,            0.001981
                  83,            0.028618,           0.0083974,            0.005853,             0.98494,             0.99884,               0.995,             0.76346,            0.012739,           0.0035524,          0.00058136,            0.001882,            0.001882,            0.001882
                  84,            0.024517,           0.0093297,           0.0044959,             0.98351,                   1,               0.995,             0.75724,            0.013254,           0.0035882,          0.00055504,            0.001783,            0.001783,            0.001783
                  85,            0.021994,           0.0079047,           0.0042501,             0.98378,                   1,               0.995,             0.75937,            0.012305,           0.0036545,          0.00053673,            0.001684,            0.001684,            0.001684
                  86,            0.023603,            0.008641,           0.0034733,             0.98502,                   1,               0.995,             0.76692,            0.011863,           0.0036216,           0.0005291,            0.001585,            0.001585,            0.001585
                  87,            0.021925,           0.0088716,           0.0054228,             0.98515,                   1,               0.995,             0.76553,            0.011464,           0.0035882,          0.00052662,            0.001486,            0.001486,            0.001486
                  88,            0.018389,           0.0080505,           0.0025176,             0.98527,                   1,               0.995,             0.71494,            0.012181,           0.0036993,          0.00052414,            0.001387,            0.001387,            0.001387
                  89,            0.021703,           0.0086104,           0.0042209,             0.98706,                   1,               0.995,             0.72377,            0.012438,           0.0038161,          0.00052719,            0.001288,            0.001288,            0.001288
                  90,            0.017715,           0.0073329,           0.0031488,             0.98416,                   1,               0.995,             0.72344,            0.011854,           0.0037165,          0.00051575,            0.001189,            0.001189,            0.001189
                  91,            0.032713,            0.010167,           0.0066796,             0.98533,                   1,               0.995,             0.72552,            0.011752,           0.0038009,          0.00052757,             0.00109,             0.00109,             0.00109
                  92,             0.02109,           0.0087302,           0.0039481,             0.98819,                   1,               0.995,             0.70457,            0.012341,           0.0039458,          0.00052948,            0.000991,            0.000991,            0.000991
                  93,            0.022938,           0.0086599,           0.0027735,             0.98724,                   1,               0.995,              0.7126,            0.012222,           0.0039454,          0.00052242,            0.000892,            0.000892,            0.000892
                  94,            0.019396,           0.0085275,           0.0031401,              0.9866,                   1,               0.995,             0.69701,            0.012191,            0.003943,          0.00051899,            0.000793,            0.000793,            0.000793
                  95,            0.020854,           0.0089349,           0.0055166,             0.98633,                   1,               0.995,             0.69646,            0.012208,           0.0040016,          0.00051689,            0.000694,            0.000694,            0.000694
                  96,            0.018654,           0.0071995,           0.0033807,             0.98652,                   1,               0.995,             0.69663,            0.012204,           0.0041218,          0.00053577,            0.000595,            0.000595,            0.000595
                  97,            0.018323,           0.0094497,            0.005857,             0.98614,                   1,               0.995,             0.71293,            0.012006,           0.0041394,          0.00052719,            0.000496,            0.000496,            0.000496
                  98,            0.026121,           0.0082646,           0.0062892,              0.9862,                   1,               0.995,             0.71343,            0.011994,           0.0040894,          0.00051842,            0.000397,            0.000397,            0.000397
                  99,            0.023982,           0.0082575,           0.0056412,             0.98536,                   1,               0.995,             0.71742,            0.011899,           0.0040631,          0.00050926,            0.000298,            0.000298,            0.000298
