               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088905,            0.028183,            0.035193,           0.0022418,             0.52222,            0.007078,           0.0027669,             0.05657,             0.01885,            0.030432,              0.0865,              0.0015,              0.0015
                   1,            0.073132,             0.02729,            0.034685,           0.0045565,                   1,            0.069705,             0.01251,            0.036669,            0.016367,            0.030688,            0.072094,           0.0030939,           0.0030939
                   2,            0.063506,            0.027418,            0.037132,           0.0044087,                   1,             0.10603,            0.030445,            0.040011,            0.014155,            0.028186,            0.057681,           0.0046814,           0.0046814
                   3,            0.050788,            0.024705,            0.030707,           0.0095573,                   1,             0.20488,            0.057159,            0.036873,            0.012265,            0.026953,            0.043263,           0.0062626,           0.0062626
                   4,            0.056465,            0.023623,            0.036457,            0.017518,             0.93333,             0.19169,            0.057081,            0.037698,            0.010504,            0.026184,            0.028837,           0.0078374,           0.0078374
                   5,            0.046763,            0.023783,            0.031938,           0.0042174,             0.93333,             0.21618,            0.051498,            0.044818,           0.0087609,            0.028638,            0.014406,           0.0094059,           0.0094059
                   6,            0.054032,            0.018259,            0.031842,             0.40248,             0.16667,             0.19727,            0.036359,            0.040843,            0.007885,            0.026385,           0.0098812,           0.0098812,           0.0098812
                   7,             0.05066,            0.019383,            0.031274,              0.1455,             0.53889,             0.51141,             0.18845,            0.038492,           0.0094175,            0.025116,           0.0098812,           0.0098812,           0.0098812
                   8,            0.048875,            0.019743,              0.0331,            0.057699,             0.60556,             0.40587,             0.14112,            0.036431,            0.010475,            0.025061,           0.0098614,           0.0098614,           0.0098614
                   9,            0.043951,            0.021248,            0.031762,             0.13431,             0.68889,              0.4171,             0.22938,            0.034311,            0.011172,            0.023529,           0.0098416,           0.0098416,           0.0098416
                  10,            0.048374,            0.019981,             0.03542,             0.38065,             0.38333,             0.29418,             0.14987,            0.036594,            0.010108,            0.023956,           0.0098218,           0.0098218,           0.0098218
                  11,            0.050725,            0.021231,            0.032071,             0.74926,             0.29469,             0.25209,             0.12019,            0.045313,           0.0077181,            0.025232,            0.009802,            0.009802,            0.009802
                  12,            0.049954,            0.020381,            0.036143,             0.26528,             0.23333,             0.28313,             0.14668,            0.046331,           0.0071802,             0.02608,           0.0097822,           0.0097822,           0.0097822
                  13,            0.046599,            0.018706,            0.029028,             0.91545,             0.16667,             0.29597,              0.1555,            0.038359,           0.0077457,            0.024652,           0.0097624,           0.0097624,           0.0097624
                  14,            0.044258,            0.018804,            0.029796,             0.63981,             0.53333,             0.56411,             0.30779,            0.027222,           0.0080948,            0.020557,           0.0097426,           0.0097426,           0.0097426
                  15,            0.041927,            0.019484,            0.026112,             0.76509,             0.43785,             0.62621,             0.25923,            0.055293,           0.0078878,            0.022321,           0.0097228,           0.0097228,           0.0097228
                  16,            0.046632,            0.016538,            0.026889,             0.57823,                0.45,             0.48797,             0.18663,            0.031005,           0.0064087,            0.020911,            0.009703,            0.009703,            0.009703
                  17,            0.043256,            0.017103,             0.02648,             0.62145,             0.52622,             0.49171,             0.24628,            0.035027,           0.0065527,            0.023065,           0.0096832,           0.0096832,           0.0096832
                  18,            0.046198,            0.017568,            0.029837,             0.16208,             0.42116,             0.32271,             0.17902,            0.041575,           0.0068407,            0.020355,           0.0096634,           0.0096634,           0.0096634
                  19,            0.044554,            0.016836,            0.027315,             0.36667,             0.56265,             0.55981,             0.23682,            0.032061,           0.0066309,            0.016663,           0.0096436,           0.0096436,           0.0096436
                  20,            0.039247,             0.01643,            0.025266,             0.36775,             0.68568,             0.60564,             0.26155,             0.03182,           0.0065851,            0.014661,           0.0096238,           0.0096238,           0.0096238
                  21,             0.03687,            0.016695,            0.024077,             0.42261,             0.64294,             0.69033,             0.27352,            0.023851,           0.0067358,            0.015405,            0.009604,            0.009604,            0.009604
                  22,              0.0389,            0.014802,            0.024943,              0.4425,             0.71335,             0.55825,             0.22673,            0.031127,           0.0056853,            0.013971,           0.0095842,           0.0095842,           0.0095842
                  23,            0.040027,            0.014876,            0.021607,             0.46508,             0.62778,             0.66558,             0.38403,            0.022719,           0.0059586,             0.01228,           0.0095644,           0.0095644,           0.0095644
                  24,            0.037292,            0.014039,            0.019505,             0.51152,             0.62778,             0.67353,             0.29826,            0.024342,           0.0057163,           0.0095337,           0.0095446,           0.0095446,           0.0095446
                  25,            0.042428,            0.014062,            0.025995,             0.46209,             0.77778,             0.72456,             0.34822,            0.025975,            0.005271,           0.0075485,           0.0095248,           0.0095248,           0.0095248
                  26,            0.038485,            0.015643,            0.024647,             0.61037,             0.61111,             0.70206,             0.28697,            0.027796,           0.0046248,            0.007399,            0.009505,            0.009505,            0.009505
                  27,            0.037834,            0.013757,            0.018346,             0.51428,             0.73891,             0.72046,             0.40268,            0.028038,           0.0051889,           0.0082062,           0.0094852,           0.0094852,           0.0094852
                  28,            0.042411,             0.01449,            0.018281,             0.91897,             0.60632,             0.75583,             0.39741,            0.027954,           0.0049486,           0.0075546,           0.0094654,           0.0094654,           0.0094654
                  29,            0.038931,            0.015667,            0.021367,             0.85162,             0.60471,             0.77292,              0.4627,            0.023697,           0.0048251,           0.0062027,           0.0094456,           0.0094456,           0.0094456
                  30,            0.036752,            0.015279,            0.020196,             0.59859,             0.90028,             0.79299,             0.39106,            0.024568,           0.0048323,           0.0046997,           0.0094258,           0.0094258,           0.0094258
                  31,            0.035687,            0.013537,            0.015648,             0.40873,             0.88155,             0.59172,             0.26073,            0.044283,           0.0050788,           0.0040237,            0.009406,            0.009406,            0.009406
                  32,            0.035621,            0.013902,            0.015657,             0.63763,             0.91476,             0.84429,             0.40143,            0.029537,           0.0057192,           0.0046822,           0.0093862,           0.0093862,           0.0093862
                  33,            0.035517,            0.014607,            0.016615,             0.62401,             0.82214,             0.78411,             0.40788,            0.031236,           0.0053988,            0.004303,           0.0093664,           0.0093664,           0.0093664
                  34,            0.035972,            0.014013,            0.016578,             0.87741,             0.72953,             0.82871,             0.53098,            0.024772,           0.0054445,           0.0039131,           0.0093466,           0.0093466,           0.0093466
                  35,            0.039069,             0.01225,            0.016698,             0.50486,             0.78294,             0.80942,             0.45488,             0.02383,           0.0055304,           0.0036278,           0.0093268,           0.0093268,           0.0093268
                  36,            0.037741,            0.013648,            0.018776,             0.80119,             0.88889,             0.95639,             0.48214,            0.022153,           0.0055046,           0.0051491,            0.009307,            0.009307,            0.009307
                  37,            0.035741,            0.013405,             0.01958,             0.64237,             0.88889,             0.84417,             0.49957,            0.024654,           0.0052261,           0.0026756,           0.0092872,           0.0092872,           0.0092872
                  38,               0.032,            0.013312,            0.017025,             0.83701,             0.85616,             0.86177,             0.46163,            0.026838,           0.0063295,           0.0024704,           0.0092674,           0.0092674,           0.0092674
                  39,            0.033788,            0.014067,            0.014202,             0.86197,             0.68184,             0.74019,             0.36526,            0.027472,           0.0066595,           0.0029274,           0.0092476,           0.0092476,           0.0092476
                  40,            0.039695,            0.013129,            0.016444,             0.73383,             0.54282,             0.59819,             0.29395,            0.028926,           0.0064917,           0.0031754,           0.0092278,           0.0092278,           0.0092278
                  41,            0.036526,            0.012329,            0.014841,             0.76726,             0.67651,             0.74467,             0.43198,            0.026494,           0.0055785,           0.0035156,            0.009208,            0.009208,            0.009208
                  42,            0.034004,            0.012949,            0.012663,             0.62558,             0.87219,             0.81214,             0.42374,            0.021179,           0.0058885,           0.0026108,           0.0091882,           0.0091882,           0.0091882
                  43,            0.035151,            0.012745,            0.014917,             0.78518,             0.72222,             0.83836,             0.48071,            0.020863,           0.0061865,           0.0026138,           0.0091684,           0.0091684,           0.0091684
                  44,             0.03716,            0.014064,            0.015728,             0.66191,             0.64394,              0.7847,             0.37243,            0.029243,           0.0058169,           0.0026115,           0.0091486,           0.0091486,           0.0091486
                  45,            0.038303,            0.011882,            0.017822,             0.68052,              0.7079,             0.77246,             0.39068,            0.023068,           0.0062237,           0.0019852,           0.0091288,           0.0091288,           0.0091288
                  46,            0.039248,            0.012978,            0.017503,             0.56459,             0.79909,             0.71312,             0.42659,            0.019458,           0.0064354,           0.0021248,            0.009109,            0.009109,            0.009109
                  47,            0.028776,            0.011701,            0.014118,             0.71814,             0.90372,             0.85144,             0.49078,            0.027633,           0.0057168,           0.0028801,           0.0090892,           0.0090892,           0.0090892
                  48,            0.029122,            0.012009,            0.011086,             0.65327,             0.87098,             0.81332,             0.42032,            0.025104,           0.0052323,            0.010693,           0.0090694,           0.0090694,           0.0090694
                  49,            0.033946,            0.011644,            0.012687,             0.61878,             0.90214,             0.89211,             0.50269,            0.038559,           0.0053043,            0.014026,           0.0090496,           0.0090496,           0.0090496
                  50,            0.032917,               0.013,            0.011042,             0.72991,             0.85143,             0.83457,             0.51714,            0.022895,           0.0052018,           0.0089813,           0.0090298,           0.0090298,           0.0090298
                  51,            0.038103,             0.01283,            0.013816,             0.76659,             0.71111,             0.84889,             0.46767,            0.028654,           0.0057993,            0.002578,             0.00901,             0.00901,             0.00901
                  52,            0.038668,            0.013361,            0.016501,             0.94367,             0.68557,             0.81095,             0.49893,            0.021707,           0.0066853,            0.002198,           0.0089902,           0.0089902,           0.0089902
                  53,            0.031694,             0.01266,            0.010391,             0.87228,             0.77285,             0.80142,             0.43583,            0.022838,           0.0068359,           0.0021721,           0.0089704,           0.0089704,           0.0089704
