               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11054,            0.027904,            0.040972,           0.0022144,             0.82266,           0.0076614,            0.001398,            0.044103,            0.017633,             0.02037,              0.0892,              0.0012,              0.0012
                   1,             0.08006,            0.025068,            0.032519,           0.0025208,                   1,            0.062082,            0.018313,            0.032724,            0.010993,            0.013573,            0.077494,           0.0024938,           0.0024938
                   2,            0.060163,            0.022275,            0.028783,             0.59617,             0.36804,             0.35471,             0.14717,            0.023503,           0.0093682,            0.014763,            0.065781,           0.0037812,           0.0037812
                   3,            0.054481,            0.019016,            0.026853,             0.55497,             0.36585,             0.28033,            0.072478,            0.037651,           0.0060477,           0.0088669,            0.054062,           0.0050621,           0.0050621
                   4,            0.050237,            0.016913,            0.021893,             0.75769,             0.26016,             0.26227,             0.13747,            0.038903,           0.0056627,           0.0082375,            0.042337,           0.0063366,           0.0063366
                   5,            0.052819,            0.015073,            0.017981,             0.66426,             0.52033,             0.45075,             0.17112,            0.038582,           0.0041127,           0.0030058,            0.030605,           0.0076047,           0.0076047
                   6,            0.050135,            0.014408,            0.016229,             0.47284,             0.62594,             0.67003,             0.34505,            0.034281,           0.0043879,           0.0031654,            0.018866,           0.0088663,           0.0088663
                   7,            0.046337,            0.013454,            0.013872,             0.47653,             0.72104,             0.56108,             0.21576,            0.041058,           0.0091934,           0.0026608,           0.0098268,           0.0098268,           0.0098268
                   8,            0.049958,            0.012372,            0.012034,             0.71916,             0.52033,             0.59968,             0.30944,            0.022043,           0.0055904,           0.0026373,           0.0098268,           0.0098268,           0.0098268
                   9,            0.048272,            0.012754,            0.015775,             0.30622,             0.52134,             0.35273,             0.21058,            0.024969,            0.015858,            0.010995,            0.009802,            0.009802,            0.009802
                  10,            0.044098,            0.011755,            0.011535,             0.33193,             0.14278,            0.082677,            0.045104,            0.052514,            0.033745,            0.078717,           0.0097773,           0.0097773,           0.0097773
