               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12332,            0.014023,            0.031201,           0.0033351,                   1,            0.010183,           0.0018366,            0.084214,            0.011097,            0.020471,                 0.1,                   0,                   0
                   1,             0.12471,            0.013962,            0.030683,           0.0028327,                0.85,           0.0056492,           0.0016681,            0.085793,           0.0099783,            0.020587,             0.09909,            9.01e-05,            9.01e-05
                   2,             0.12198,            0.014751,            0.031376,           0.0026564,                 0.8,           0.0057093,           0.0018325,            0.085542,            0.010001,            0.020477,             0.09816,           0.0001604,           0.0001604
                   3,             0.11858,            0.014285,            0.031954,            0.002676,                 0.8,           0.0059861,           0.0020163,            0.085199,            0.010038,            0.020361,            0.097211,           0.0002109,           0.0002109
                   4,             0.11869,            0.014644,             0.03085,           0.0026758,                 0.8,           0.0059905,           0.0020604,            0.084816,            0.010093,            0.020251,            0.096242,           0.0002416,           0.0002416
                   5,             0.11534,            0.016657,             0.03095,           0.0028726,                0.85,           0.0067911,           0.0020487,            0.084496,            0.010119,             0.02016,            0.095253,           0.0002525,           0.0002525
                   6,             0.11917,            0.015566,              0.0299,           0.0028737,                0.85,           0.0068488,           0.0018902,            0.084184,            0.010132,            0.020056,            0.094244,           0.0002436,           0.0002436
                   7,             0.11547,            0.015632,             0.03188,           0.0030314,                 0.9,           0.0069929,           0.0017749,            0.083946,            0.010139,            0.019983,            0.093215,           0.0002149,           0.0002149
                   8,             0.11173,            0.015968,            0.031171,           0.0031872,                0.95,           0.0075338,           0.0017535,            0.083648,            0.010148,             0.01991,            0.092166,           0.0001664,           0.0001664
                   9,             0.11311,            0.020216,            0.031787,           0.0031863,                0.95,           0.0073635,           0.0016467,            0.083379,            0.010173,            0.019836,            0.091098,            9.81e-05,            9.81e-05
