               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11541,            0.013854,            0.042121,           0.0017792,             0.67734,           0.0054939,           0.0011014,            0.089144,           0.0079372,             0.03332,              0.0946,              0.0006,              0.0006
                   1,             0.10743,            0.014187,            0.041976,           0.0020098,             0.77947,           0.0064225,            0.001516,            0.080196,           0.0082276,            0.032444,            0.088294,           0.0012936,           0.0012936
                   2,            0.097451,            0.016484,            0.037998,           0.0020627,             0.78659,           0.0093838,           0.0023202,             0.06999,           0.0085228,            0.030503,             0.08198,           0.0019802,           0.0019802
                   3,            0.086984,            0.019083,            0.036576,           0.0022857,               0.906,             0.02689,           0.0063692,            0.058364,           0.0088697,            0.026214,             0.07566,           0.0026599,           0.0026599
                   4,             0.08474,            0.019706,            0.035844,            0.054117,             0.26931,            0.055571,              0.0106,            0.053885,            0.009047,            0.025218,            0.069333,           0.0033327,           0.0033327
                   5,            0.076861,             0.02002,            0.035423,           0.0057731,             0.91768,            0.047098,            0.010774,             0.05201,           0.0089373,            0.024255,            0.062999,           0.0039985,           0.0039985
                   6,            0.075443,            0.020599,            0.032402,            0.014539,             0.61992,            0.044637,             0.01114,            0.049853,           0.0089673,            0.023384,            0.056657,           0.0046574,           0.0046574
                   7,            0.070307,            0.021715,            0.030537,            0.010136,             0.83892,            0.050749,             0.01293,            0.046017,           0.0089146,            0.022243,            0.050309,           0.0053094,           0.0053094
                   8,            0.065609,            0.022069,            0.029308,              0.4286,             0.14634,             0.10086,            0.034232,            0.044469,           0.0087263,            0.021135,            0.043954,           0.0059545,           0.0059545
                   9,            0.065117,            0.018873,            0.027193,             0.41135,              0.1626,            0.087412,            0.026354,            0.042891,           0.0085427,            0.020516,            0.037593,           0.0065926,           0.0065926
                  10,            0.061423,             0.01985,            0.027128,             0.39164,             0.11382,            0.077701,            0.015817,            0.045279,           0.0077507,            0.016883,            0.031224,           0.0072238,           0.0072238
                  11,            0.068576,            0.018792,            0.027029,             0.41996,             0.25203,             0.15394,            0.036853,            0.055095,           0.0074747,            0.015086,            0.024848,           0.0078481,           0.0078481
                  12,            0.067184,            0.017325,            0.027207,             0.52333,             0.35772,             0.22997,            0.061412,            0.039358,            0.007779,             0.01446,            0.018465,           0.0084654,           0.0084654
                  13,            0.063351,              0.0165,            0.026327,             0.45595,             0.29268,              0.1826,            0.086107,            0.046339,           0.0070859,            0.013298,            0.012076,           0.0090758,           0.0090758
                  14,            0.061951,              0.0173,             0.02191,              0.2899,             0.49593,             0.38588,             0.14243,             0.04185,           0.0078652,            0.013151,            0.009307,            0.009307,            0.009307
                  15,            0.058262,            0.017644,             0.02113,             0.53443,             0.24327,             0.26322,             0.09919,            0.050186,           0.0063128,            0.011172,            0.009307,            0.009307,            0.009307
                  16,            0.064619,             0.01683,            0.021353,             0.30823,             0.55059,             0.45557,             0.19381,            0.044911,           0.0073559,             0.01121,           0.0092575,           0.0092575,           0.0092575
                  17,            0.064774,            0.018773,            0.021409,             0.37286,               0.563,             0.49414,             0.21455,            0.040809,           0.0069764,            0.010626,            0.009208,            0.009208,            0.009208
                  18,            0.060269,            0.016033,            0.023036,             0.22973,             0.53659,              0.3485,            0.099747,            0.046606,           0.0065918,            0.010653,           0.0091585,           0.0091585,           0.0091585
                  19,             0.06268,            0.016972,            0.018985,             0.41829,             0.51086,             0.52817,             0.15449,            0.043802,           0.0070877,           0.0096852,            0.009109,            0.009109,            0.009109
                  20,            0.058919,            0.017981,             0.01971,             0.80395,             0.55285,             0.58507,              0.2256,            0.038246,            0.007261,           0.0092123,           0.0090595,           0.0090595,           0.0090595
                  21,            0.053496,            0.018612,            0.018182,             0.61004,             0.48809,             0.42262,             0.15653,            0.044287,            0.006821,              0.0085,             0.00901,             0.00901,             0.00901
                  22,            0.062078,            0.018639,            0.021762,             0.83472,             0.52033,             0.60563,             0.29416,            0.038048,           0.0069199,           0.0085339,           0.0089605,           0.0089605,           0.0089605
                  23,            0.059369,            0.018894,            0.016267,             0.70685,             0.53659,              0.4767,             0.16414,            0.040668,           0.0069105,           0.0084213,            0.008911,            0.008911,            0.008911
