               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12332,            0.014023,            0.031201,           0.0033351,                   1,            0.010183,           0.0018366,            0.084214,            0.011097,            0.020471,                 0.1,                   0,                   0
                   1,             0.12471,            0.013962,            0.030683,           0.0028328,                0.85,           0.0056534,           0.0016706,            0.085792,           0.0099788,            0.020587,              0.0991,           9.967e-05,           9.967e-05
                   2,             0.12196,            0.014757,            0.031375,           0.0026563,                 0.8,           0.0057753,           0.0018379,            0.085516,            0.010008,            0.020471,            0.098199,          0.00019868,          0.00019868
                   3,             0.11847,             0.01431,            0.031939,           0.0026758,                 0.8,           0.0057253,           0.0019961,            0.085119,            0.010057,            0.020349,            0.097297,          0.00029703,          0.00029703
                   4,             0.11827,            0.014722,            0.030804,           0.0030298,                 0.9,           0.0069629,           0.0022421,            0.084651,            0.010112,            0.020209,            0.096395,          0.00039472,          0.00039472
                   5,             0.11436,            0.016846,            0.030869,           0.0028737,                0.85,           0.0070948,           0.0021187,            0.084179,            0.010167,            0.020105,            0.095492,          0.00049175,          0.00049175
                   6,             0.11744,            0.015906,             0.02976,           0.0028723,                0.85,           0.0072512,           0.0019431,            0.083637,            0.010214,            0.019971,            0.094588,          0.00058812,          0.00058812
                   7,             0.11246,            0.016154,            0.031592,           0.0030291,                 0.9,           0.0079233,           0.0019989,            0.083123,            0.010232,            0.019855,            0.093684,          0.00068383,          0.00068383
                   8,             0.10563,            0.016984,            0.030651,           0.0031863,                0.95,           0.0094228,           0.0019626,            0.082315,            0.010321,            0.019727,            0.092779,          0.00077888,          0.00077888
                   9,             0.10543,            0.022387,            0.031556,           0.0033438,                   1,           0.0093512,           0.0019888,            0.081442,            0.010415,            0.019586,            0.091873,          0.00087327,          0.00087327
                  10,            0.097011,            0.018944,            0.029278,           0.0033434,                   1,           0.0081192,           0.0019202,            0.080402,            0.010474,            0.019409,            0.090967,            0.000967,            0.000967
                  11,             0.09915,            0.017514,            0.030981,           0.0029907,                 0.9,           0.0098365,           0.0025227,            0.078452,            0.010671,            0.019135,             0.09006,           0.0010601,           0.0010601
                  12,            0.097279,            0.018646,            0.029368,           0.0033442,                   1,            0.011558,           0.0030921,            0.075918,             0.01098,            0.018982,            0.089152,           0.0011525,           0.0011525
                  13,            0.095064,            0.021729,            0.027926,           0.0033469,                   1,            0.011072,           0.0033087,            0.072349,            0.011359,            0.018921,            0.088244,           0.0012442,           0.0012442
                  14,             0.09446,            0.022069,            0.028533,           0.0033428,                   1,            0.014185,            0.004563,              0.0676,            0.011936,            0.018842,            0.087335,           0.0013353,           0.0013353
                  15,            0.093362,            0.019361,            0.028162,           0.0033432,                   1,            0.015615,           0.0057858,            0.063239,             0.01253,            0.018774,            0.086426,           0.0014257,           0.0014257
                  16,            0.087527,            0.023663,            0.028783,           0.0033455,                   1,            0.017418,           0.0068867,            0.059154,            0.013051,            0.018677,            0.085516,           0.0015155,           0.0015155
                  17,            0.079481,            0.019864,            0.024433,           0.0033745,                   1,            0.023586,           0.0089405,            0.054501,            0.013604,             0.01864,            0.084605,           0.0016046,           0.0016046
                  18,            0.083692,            0.022395,            0.027684,           0.0033468,                   1,            0.021717,           0.0079433,            0.050541,            0.014153,            0.018616,            0.083693,           0.0016931,           0.0016931
                  19,            0.082485,            0.022342,            0.027613,           0.0033455,                   1,            0.018771,           0.0078393,            0.047569,            0.014536,            0.018793,            0.082781,           0.0017809,           0.0017809
                  20,            0.082049,            0.025193,            0.027515,           0.0033478,                   1,            0.019143,           0.0076725,            0.045549,            0.014715,            0.018793,            0.081868,            0.001868,            0.001868
                  21,            0.081743,            0.022011,            0.027414,           0.0033472,                   1,            0.018607,           0.0067708,            0.043552,            0.014875,            0.018787,            0.080954,           0.0019545,           0.0019545
                  22,            0.077464,               0.026,            0.026669,           0.0033461,                   1,            0.018905,           0.0063378,            0.042597,            0.014904,            0.018738,             0.08004,           0.0020403,           0.0020403
                  23,            0.074273,            0.029188,            0.025451,           0.0033461,                   1,            0.018905,           0.0063378,            0.042597,            0.014904,            0.018738,            0.079125,           0.0021254,           0.0021254
                  24,            0.071455,            0.023541,            0.026195,           0.0033469,                   1,            0.018891,           0.0062333,            0.041752,            0.014887,             0.01853,             0.07821,           0.0022099,           0.0022099
                  25,             0.07197,            0.029287,            0.026003,           0.0033469,                   1,            0.018891,           0.0062333,            0.041752,            0.014887,             0.01853,            0.077294,           0.0022938,           0.0022938
