               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097644,            0.029093,            0.034804,           0.0022463,             0.56606,            0.019898,           0.0052559,            0.068898,            0.022745,            0.023392,              0.0991,              0.0001,              0.0001
                   1,             0.12437,             0.02875,            0.040519,           0.0024575,             0.50915,            0.021533,           0.0055693,            0.067131,            0.022198,            0.023241,            0.097299,          0.00029926,          0.00029926
                   2,             0.10723,            0.028764,            0.040696,           0.0020891,             0.67988,            0.016249,           0.0037265,            0.065525,            0.021818,             0.02309,            0.095498,          0.00049752,          0.00049752
                   3,            0.090232,            0.028355,            0.036137,           0.0020758,             0.66362,            0.013018,           0.0033314,            0.063386,            0.021305,            0.022765,            0.093695,           0.0006948,           0.0006948
                   4,             0.10553,            0.026473,            0.041887,           0.0020884,             0.72866,             0.01129,           0.0035523,            0.058126,            0.020483,            0.022128,            0.091891,          0.00089109,          0.00089109
                   5,             0.10351,            0.028103,            0.039524,           0.0021726,             0.77287,            0.010234,           0.0026122,            0.052145,            0.019283,             0.02138,            0.090086,           0.0010864,           0.0010864
                   6,            0.098295,            0.028602,            0.038672,           0.0022608,             0.81809,            0.010864,           0.0024027,            0.045899,            0.018307,            0.020652,            0.088281,           0.0012807,           0.0012807
                   7,            0.098829,            0.027252,             0.03827,           0.0023352,             0.88059,            0.011109,           0.0021952,            0.043429,            0.017462,            0.020121,            0.086474,            0.001474,            0.001474
                   8,            0.076924,            0.023711,            0.033365,           0.0023091,             0.87602,            0.015981,           0.0034488,             0.04029,            0.015876,            0.017711,            0.084666,           0.0016663,           0.0016663
                   9,            0.089381,            0.029229,            0.032574,           0.0023562,             0.92581,            0.014793,           0.0037638,            0.040921,            0.014808,            0.016656,            0.082858,           0.0018577,           0.0018577
                  10,            0.089374,            0.024753,            0.033518,           0.0025302,             0.98374,             0.01427,           0.0033241,            0.041846,            0.013772,            0.018862,            0.081048,            0.002048,            0.002048
                  11,            0.067549,            0.024471,            0.032575,             0.00248,             0.97561,            0.020912,           0.0046904,            0.041082,            0.012983,            0.020622,            0.079237,           0.0022374,           0.0022374
                  12,             0.06438,            0.024317,            0.030471,           0.0025016,             0.98374,             0.01909,           0.0051677,            0.044341,            0.012129,            0.020364,            0.077426,           0.0024257,           0.0024257
                  13,             0.07841,            0.025592,            0.032008,           0.0025162,             0.98374,            0.033074,           0.0083147,            0.041261,            0.011299,            0.020245,            0.075613,           0.0026131,           0.0026131
                  14,            0.068909,            0.023799,            0.034294,           0.0025563,                   1,            0.032714,           0.0085209,            0.038027,            0.010805,            0.018816,              0.0738,           0.0027995,           0.0027995
                  15,            0.053951,            0.023596,            0.029266,           0.0025205,             0.99187,            0.046292,            0.012156,            0.036557,            0.010342,            0.018693,            0.071985,           0.0029849,           0.0029849
                  16,            0.061868,            0.027597,            0.024496,           0.0093276,              0.9375,              0.0534,            0.016316,            0.034391,            0.010156,            0.018546,            0.070169,           0.0031693,           0.0031693
                  17,            0.063884,            0.023386,            0.034258,            0.023492,             0.75915,            0.058297,             0.01568,            0.033117,            0.010086,            0.017745,            0.068353,           0.0033527,           0.0033527
                  18,            0.063616,            0.022562,            0.022194,            0.073989,             0.30894,            0.074665,            0.023807,            0.031953,           0.0099024,            0.016603,            0.066535,           0.0035352,           0.0035352
                  19,            0.057508,            0.022772,            0.026467,            0.082344,             0.14689,            0.094539,            0.030728,            0.030553,            0.009701,             0.01534,            0.064717,           0.0037166,           0.0037166
